image,severity_gs,severity_method,absolute_error,bias,iou,dice,precision,recall,f1,method_annotation_missing,mask_resized
set_15_25_obj0,0.033127649918048015,0.022861899734038175,0.01026575018400984,-0.01026575018400984,0.5853447414855012,0.7384447384447385,0.9042378111499692,0.6240283939662822,0.7384447384447385,0,0
set_16_86_obj0,0.10653473573724608,0.07407797773938904,0.032456757997857036,-0.032456757997857036,0.6666397623813521,0.7999806286018694,0.9752336421010372,0.6781200096881325,0.7999806286018694,0,0
set_16_79_obj1,0.11154265619087894,0.11990028711967772,0.008357630928798779,0.008357630928798779,0.8509255962976148,0.9194595374332837,0.8874141451642844,0.9539060161628256,0.9194595374332837,0,0
set_16_75_obj2,0.006139502039962339,0.0028703316246469295,0.0032691704153154093,-0.0032691704153154093,0.46129374337221635,0.6313497822931785,0.9908883826879271,0.46325878594249204,0.6313497822931785,0,0
set_16_75_obj1,0.02033448192612427,0.016493646160261617,0.003840835765862652,-0.003840835765862652,0.6083067092651757,0.7564560985299961,0.8445331559104015,0.6850152905198776,0.7564560985299961,0,0
set_16_75_obj0,0.007683168316831683,0.0015260726072607261,0.006157095709570957,-0.006157095709570957,0.10941475826972011,0.19724770642201836,0.5951557093425606,0.11821305841924398,0.19724770642201836,0,0
set_16_71_obj3,0.07664325731870907,0.14855993056103528,0.07191667324232622,0.07191667324232622,0.4306481527896135,0.6020322354590049,0.4563127423381314,0.8844847112117781,0.6020322354590049,0,0
set_16_67_obj0,0.07679541782934352,0.0693200176237333,0.0074754002056102165,-0.0074754002056102165,0.8239985333211111,0.9035078902402252,0.9522245762711864,0.8595333715815644,0.9035078902402252,0,0
set_16_64_obj3,0.13998237918494358,0.1552787462977543,0.01529636711281071,0.01529636711281071,0.6696878147029205,0.8021712907117008,0.7626607110520915,0.8459993304318715,0.8021712907117008,0,0
set_16_64_obj2,0.04314146729254997,0.025983305572380374,0.0171581617201696,-0.0171581617201696,0.591805600958919,0.7435651697699891,0.9890730285922419,0.5957003400241307,0.7435651697699891,0,0
set_16_64_obj1,0.19684442165534333,0.1320877665256591,0.06475665512968423,-0.06475665512968423,0.584643491238453,0.7378864640166277,0.9187626364739183,0.6165138112552233,0.7378864640166277,0,0
set_16_64_obj0,0.14289368307784578,0.14160154527333346,0.0012921378045123166,-0.0012921378045123166,0.8793078334838466,0.9357783943823534,0.9400479616306955,0.9315474353434973,0.9357783943823534,0,0
set_16_63_obj3,0.04429412641621944,0.07722122838401908,0.032927101967799646,0.032927101967799646,0.35421569984770873,0.5231303992230231,0.4115990990990991,0.7175711681391109,0.5231303992230231,0,0
set_16_62_obj0,0.10384044012595335,0.10594440140169312,0.0021039612757397658,0.0021039612757397658,0.8851558507920286,0.9390797587585553,0.9297551157329755,0.9485933328769937,0.9390797587585553,0,0
set_16_60_obj3,0.10240038170349217,0.2231983104007185,0.12079792869722633,0.12079792869722633,0.4084438643882599,0.579993104042755,0.4230430682175417,0.9220912703850898,0.579993104042755,0,0
set_16_55_obj0,0.08537564338669311,0.07995309376524846,0.0054225496214446445,-0.0054225496214446445,0.617042567931645,0.7631741800352263,0.7890540407520426,0.7389380530973452,0.7631741800352263,0,0
set_16_44_obj5,0.020242668129992075,0.019345510291184337,0.0008971578388077377,-0.0008971578388077377,0.6933681073025335,0.818921892189219,0.8379108509680324,0.8007745266781411,0.818921892189219,0,0
set_16_44_obj4,0.0337075856578991,0.03018342233573253,0.0035241633221665715,-0.0035241633221665715,0.7704503676470589,0.8703439325113562,0.9211538461538461,0.8248462484624847,0.8703439325113562,0,0
set_16_40_obj0,0.17514392265013268,0.14272954277257288,0.032414379877559796,-0.032414379877559796,0.7475179211469534,0.8555196053798783,0.9526653572081125,0.7763528919082406,0.8555196053798783,0,0
set_16_39_obj3,0.008417152278595855,0.017711023100006978,0.009293870821411122,0.009293870821411122,0.33882773649214953,0.506155836567756,0.3733530353404753,0.7855939888586605,0.506155836567756,0,0
set_16_38_obj0,0.04173926256077796,0.029411466774716368,0.01232779578606159,-0.01232779578606159,0.6611091403571007,0.7959851936218679,0.9628035130015499,0.6784370828782915,0.7959851936218679,0,0
set_16_29_obj0,0.14083984144874762,0.08016875526596016,0.06067108618278745,-0.06067108618278745,0.5582249216300941,0.7164882474683083,0.9876045948962543,0.5621635913058577,0.7164882474683083,0,0
set_16_28_obj0,0.19227933758082746,0.15961996753054067,0.032659370050286796,-0.032659370050286796,0.8174684803116891,0.8995682612019728,0.991597263533611,0.823170731707317,0.8995682612019728,0,0
set_16_19_obj1,0.17388937324421194,0.1513881623559043,0.022501210888307643,-0.022501210888307643,0.6404033298159222,0.7807876492030591,0.8388128847310562,0.7302708544561185,0.7807876492030591,0,0
set_16_16_obj0,0.040766521342890216,0.04253602305475504,0.0017695017118648237,0.0017695017118648237,0.486697965571205,0.6547368421052632,0.6411182915247956,0.6689465161804867,0.6547368421052632,0,0
set_16_15_obj2,0.13476563557143242,0.10620619198397878,0.028559443587453645,-0.028559443587453645,0.6219443331268899,0.7669120578606605,0.870025545143556,0.6856503120152218,0.7669120578606605,0,0
set_16_15_obj1,0.03652294088397826,0.030604704505282077,0.005918236378696186,-0.005918236378696186,0.8245375990859102,0.9038318525186896,0.9912218573605477,0.8306026653238134,0.9038318525186896,0,0
set_16_14_obj9,0.13757476481019507,0.07284872711971387,0.0647260376904812,-0.0647260376904812,0.5265194875988007,0.6898300242822454,0.9962867457452295,0.5275547544923261,0.6898300242822454,0,0
set_16_14_obj2,0.19699353091233116,0.19133959332567724,0.005653937586653918,-0.005653937586653918,0.9182538446626008,0.9573851210751634,0.9715301174840788,0.9436461020934713,0.9573851210751634,0,0
set_16_14_obj0,0.2068028891198065,0.1820630972863397,0.02473979183346678,-0.02473979183346678,0.850231404556765,0.9190541274597417,0.9814973357099082,0.8640809888014366,0.9190541274597417,0,0
set_16_13_obj1,0.10066641867861732,0.07886216784854622,0.021804250830071106,-0.021804250830071106,0.2948796206916132,0.4554548793255606,0.5184182285557414,0.40612933183440053,0.4554548793255606,0,0
