image,severity_gs,severity_method,absolute_error,bias,iou,dice,precision,recall,f1
set_12_10_obj2,0.023560385692738633,0.02855796164619694,0.004997575953458306,0.004997575953458306,0.48325157136286984,0.6516110694814088,0.5945958690936527,0.720720205773078,0.6516110694814088
set_12_22_obj2,0.010193057447508102,0.012852229372498056,0.0026591719249899545,0.0026591719249899545,0.5621793737838316,0.7197372890952327,0.6452791878172589,0.8136200716845878,0.7197372890952327
set_12_25_obj0,0.0399886401114002,0.049411443764479784,0.009422803653079584,0.009422803653079584,0.6283407340112911,0.7717558381818803,0.6981685962671501,0.8626829578719613,0.7717558381818803
set_12_30_obj3,0.033856998099126484,0.020876324879253852,0.012980673219872632,-0.012980673219872632,0.5631601182931981,0.7205405405405405,0.9445527015057573,0.582413981430912,0.7205405405405405
set_12_31_obj0,0.03548845491814244,0.0827969807686019,0.04730852585045946,0.04730852585045946,0.35367264314632735,0.522537919248024,0.373254102186636,0.8708272251308901,0.522537919248024
set_12_31_obj1,0.033443438757109166,0.07263634577148934,0.03919290701438017,0.03919290701438017,0.36014821676702174,0.5295720162366852,0.3866995563866399,0.8398790235472025,0.5295720162366852
set_12_37_obj3,0.03446642567386933,0.033876535747910684,0.0005898899259586463,-0.0005898899259586463,0.8408735128365685,0.9135592499681109,0.9215131240349974,0.9057415057752297,0.9135592499681109
set_12_42_obj3,0.007719858584852645,0.012032380369756507,0.004312521784903862,0.004312521784903862,0.5353884434614321,0.6973980372737913,0.5724209281702631,0.8921907394609537,0.6973980372737913
set_12_43_obj3,0.017323202938727085,0.13563472778367197,0.1183115248449449,0.1183115248449449,0.12678759016737867,0.22504257461434235,0.1268924526185937,0.9935243112720887,0.22504257461434235
set_12_46_obj3,0.03647405226352595,0.08901253545216394,0.052538483188637984,0.052538483188637984,0.38061550188175886,0.5513707492969411,0.38865106776280584,0.948477473734196,0.5513707492969411
set_12_47_obj0,0.0063610224900547485,0.050307219662058374,0.043946197172003626,0.043946197172003626,0.10562514408668255,0.19106863596872284,0.10761401448424349,0.8510835913312693,0.19106863596872284
set_12_48_obj0,0.027697693997823365,0.017963407872851597,0.009734286124971767,-0.009734286124971767,0.602688385167033,0.7520967778202505,0.9558756287151349,0.6199355006116322,0.7520967778202505
set_12_48_obj2,0.06888209556612092,0.027971094503176475,0.040911001062944444,-0.040911001062944444,0.2155828576156201,0.35469874598016027,0.6140929711895363,0.2493659983731279,0.35469874598016027
set_12_4_obj1,0.0034808331928329475,0.010652483791364591,0.007171650598531643,0.007171650598531643,0.28122828956509655,0.43899793948595595,0.29122302158273383,0.8912373403786878,0.43899793948595595
set_12_4_obj2,0.0044539321104786,0.004444348609433999,9.583501044601282e-06,-9.583501044601282e-06,0.6098829648894668,0.7576736672051696,0.7584905660377359,0.7568585260892953,0.7576736672051696
set_12_4_obj3,0.007685687771850423,0.013974213415866993,0.00628852564401657,0.00628852564401657,0.3416827231856134,0.5093346098611776,0.3947319606751994,0.7177065767284991,0.5093346098611776
set_12_51_obj0,0.08329610651250383,0.061948349610943226,0.0213477569015606,-0.0213477569015606,0.6440988862081501,0.7835281583258787,0.918532308997502,0.6831238936502094,0.7835281583258787
set_12_53_obj3,0.0015784063498367569,0.0027640362814440153,0.0011856299316072585,0.0011856299316072585,0.3871268656716418,0.5581708137188971,0.43845747490755416,0.7678075855689177,0.5581708137188971
set_12_54_obj0,0.02564497081351014,0.01990754799743564,0.005737422816074502,-0.005737422816074502,0.661056154338304,0.7959467867618737,0.9106440677966102,0.7069101626230199,0.7959467867618737
set_12_57_obj2,0.04820273099248264,0.055488153011704254,0.007285422019221617,0.007285422019221617,0.6215587797619048,0.7666188700889016,0.7162915326902465,0.8245527452190006,0.7666188700889016
set_12_57_obj3,0.03294685248461115,0.023620762467846584,0.009326090016764564,-0.009326090016764564,0.6426049795615013,0.7824218087212261,0.9368820262765813,0.6716838221013789,0.7824218087212261
set_12_5_obj2,0.0,0.001368005544339651,0.001368005544339651,0.001368005544339651,0.0,0.0,0.0,0.0,0.0
set_12_66_obj1,0.0,0.049138616109439745,0.049138616109439745,0.049138616109439745,0.0,0.0,0.0,0.0,0.0
set_12_66_obj2,0.0,0.002610743493616047,0.002610743493616047,0.002610743493616047,0.0,0.0,0.0,0.0,0.0
set_12_68_obj1,0.0017230805395118114,0.0017923955415385217,6.931500202671031e-05,6.931500202671031e-05,0.8508528361761206,0.91941705957994,0.9016393442622951,0.9379099256668124,0.91941705957994
set_12_74_obj0,0.04803123904396919,0.0587182804018521,0.010687041357882905,0.010687041357882905,0.7748149140732303,0.873121932804832,0.7936654999656853,0.970257571943955,0.873121932804832
set_12_74_obj1,0.011842662608641084,0.014101769633836404,0.0022591070251953196,0.0022591070251953196,0.5364069213796308,0.6982615268329554,0.6423306911417049,0.7648617320748469,0.6982615268329554
set_12_74_obj2,0.007237850849116733,0.017451032171452035,0.010213181322335303,0.010213181322335303,0.4013183708702817,0.5727725821806574,0.405165583901125,0.9768863419293219,0.5727725821806574
set_12_77_obj3,0.022271887355348866,0.024638436683837268,0.002366549328488402,0.002366549328488402,0.6010040956533228,0.7507839577488035,0.7147271394155232,0.7906720741599073,0.7507839577488035
set_12_78_obj0,0.008716933399329043,0.015881745464322597,0.0071648120649935535,0.0071648120649935535,0.5014919806042522,0.6679915538442429,0.5173143516737206,0.9425166491412548,0.6679915538442429
set_12_78_obj1,0.04686061570024802,0.07328556553167853,0.02642494983143051,0.02642494983143051,0.6320855839761239,0.7745740666812615,0.6349280074314909,0.9929672796909566,0.7745740666812615
set_12_7_obj2,0.0,0.017968609470739295,0.017968609470739295,0.017968609470739295,0.0,0.0,0.0,0.0,0.0
set_12_7_obj3,0.012798461781119265,0.04280424512359078,0.030005783342471518,0.030005783342471518,0.29771895611017374,0.4588342563825476,0.2980128092647833,0.9966989436619719,0.4588342563825476
set_15_11_obj2,0.05320086393088553,0.0778012958963283,0.024600431965442766,0.024600431965442766,0.39787969578243837,0.5692617139842384,0.4792626728110599,0.7008769080870413,0.5692617139842384
set_15_11_obj3,0.021390174197060425,0.009148747958628198,0.012241426238432227,-0.012241426238432227,0.2473596442468038,0.3966131907308378,0.6619561175158052,0.28312390647367586,0.3966131907308378
set_15_12_obj0,0.042722963864851936,0.011634669739531244,0.031088294125320694,-0.031088294125320694,0.20205541198389326,0.336183190840458,0.7853305302499416,0.2138676844783715,0.336183190840458
set_15_12_obj1,0.06884573909196483,0.00038019133993253334,0.0684655477520323,-0.0684655477520323,0.0032056098171800653,0.00639073343651705,0.5818181818181818,0.0032130127014408354,0.00639073343651705
set_15_13_obj1,0.08272779457885304,0.03926901321684588,0.04345878136200716,-0.04345878136200716,0.2985358220632614,0.4598037527973834,0.7142347802834477,0.33903109794795855,0.4598037527973834
set_15_13_obj2,0.04096614836410755,0.0872489471979268,0.04628279883381924,0.04628279883381924,0.2690473327722336,0.4240146538655887,0.3115514920870655,0.663536621528121,0.4240146538655887
set_15_13_obj4,0.010152325392967104,0.004083616917841517,0.006068708475125586,-0.006068708475125586,0.1768251841929002,0.30051223676721683,0.5238095238095238,0.21069433359936154,0.30051223676721683
set_15_17_obj0,0.0862165342747867,0.1558252427184466,0.0696087084436599,0.0696087084436599,0.46166829528293507,0.6317004983590616,0.49060700462569623,0.8867087527725644,0.6317004983590616
set_15_17_obj1,0.07484221036509607,0.08490821771129353,0.010066007346197461,0.010066007346197461,0.4888,0.6566362170875873,0.6177135711815255,0.7007938184781625,0.6566362170875873
set_15_17_obj2,0.0515304810083169,0.07751364714624596,0.025983166137929066,0.025983166137929066,0.45531829170024174,0.6257301846571247,0.5208554177996958,0.783485856905158,0.6257301846571247
set_15_20_obj2,0.1775563122426591,0.1872743592300788,0.009718046987419682,0.009718046987419682,0.65679550718824,0.7928504203912197,0.772279110813566,0.8145476429287863,0.7928504203912197
set_15_20_obj3,0.10365499427999428,0.18240338552838553,0.07874839124839125,0.07874839124839125,0.438365090778357,0.6095324387233844,0.47795675874318616,0.8410683106637064,0.6095324387233844
set_15_21_obj0,0.07163449218416332,0.08531220637225592,0.013677714188092605,0.013677714188092605,0.703718299411192,0.8260970134022723,0.759874843554443,0.9049634818899985,0.8260970134022723
set_15_21_obj1,0.006718030630461336,0.019323146669172227,0.012605116038710892,0.012605116038710892,0.2505640157924422,0.4007216146126959,0.27001975383680293,0.7766608391608392,0.4007216146126959
set_15_22_obj1,0.044940397517717105,0.029865438112860795,0.01507495940485631,-0.01507495940485631,0.5373551324503312,0.6990644140809046,0.8754952372924218,0.5818161447537953,0.6990644140809046
set_15_22_obj2,0.007295215112183654,0.0012954950991175967,0.005999720013066057,-0.005999720013066057,0.15575485799701047,0.2695292291774444,0.8936535162950258,0.15869631434663417,0.2695292291774444
set_15_22_obj3,0.0,0.0014881686481508889,0.0014881686481508889,0.0014881686481508889,0.0,0.0,0.0,0.0,0.0
set_15_24_obj0,0.09825096628339451,0.10783479592580889,0.009583829642414374,0.009583829642414374,0.7087716204129452,0.8295685765680753,0.7927045761947701,0.8700284530215872,0.8295685765680753
set_15_24_obj3,0.06404581802463799,0.05349902744759023,0.010546790577047757,-0.010546790577047757,0.6946821769837973,0.8198377092986198,0.9006490533516469,0.7523340307304672,0.8198377092986198
set_15_25_obj0,0.033127649918048015,0.018960655992136373,0.014166993925911642,-0.014166993925911642,0.3241571018651363,0.4896052007855353,0.6725164330894208,0.38491570541259984,0.4896052007855353
set_15_25_obj1,0.06553088962432493,0.09329774940846311,0.027766859784138176,0.027766859784138176,0.6566702197441784,0.7927591284227719,0.6747904115937144,0.9607137501874344,0.7927591284227719
set_15_25_obj2,0.03436312813300576,0.04606795011700445,0.011704821983998692,0.011704821983998692,0.619975317348378,0.7654132883495673,0.6681762041992589,0.8957714188672837,0.7654132883495673
set_15_31_obj1,0.27206793206793206,0.16382354487617645,0.10824438719175561,-0.10824438719175561,0.5698022745433682,0.7259541966316937,0.9657868385241482,0.5815408757628815,0.7259541966316937
set_15_38_obj2,0.16257560279547922,0.13619367287704107,0.026381929918438157,-0.026381929918438157,0.4327459915086857,0.6040791516059353,0.662586913039337,0.5550657277931819,0.6040791516059353
set_15_6_obj0,0.032633148913478204,0.14002299693374218,0.10738984802026397,0.10738984802026397,0.2330556382029158,0.3780131747219072,0.2330556382029158,1.0,0.3780131747219072
