image,GS,ImageJ,Pliman,SAM100,R1OLD,R2OLD,R1NEW,R2NEW,SAM3,SAM3_2,DeeplabV3
set_12_10_obj2.png,3.77,6.01,3.96,3.43,1.20,0.80,1.00,1.50,7.25,6.97,6.91
set_12_22_obj2.png,1.52,2.11,1.56,1.66,0.20,0.10,0.20,0.10,2.11,1.93,1.57
set_12_25_obj0.png,5.87,8.01,7.21,6.19,1.00,7.00,2.00,8.00,7.90,7.69,7.30
set_12_30_obj3.png,6.24,4.86,2.78,2.56,0.70,0.70,0.50,0.80,6.51,6.26,5.40
set_12_31_obj0.png,5.94,17.20,5.49,11.90,1.20,5.00,2.70,10.00,12.77,5.68,5.67
set_12_31_obj1.png,5.57,13.53,7.91,4.03,1.90,1.00,5.00,3.00,11.11,11.17,8.85
set_12_37_obj3.png,6.70,6.90,6.42,2.67,4.50,3.50,5.50,5.00,6.61,6.56,6.80
set_12_4_obj1.png,0.61,1.50,1.01,0.64,0.50,0.50,0.50,0.50,1.63,0.62,0.93
set_12_4_obj2.png,0.77,0.74,0.58,0.45,0.20,0.20,0.20,0.50,0.78,0.75,0.77
set_12_4_obj3.png,1.18,1.54,0.47,1.43,0.70,0.20,0.70,0.20,1.54,1.11,0.94
set_12_42_obj3.png,1.21,1.98,1.52,1.26,1.00,0.80,2.00,0.50,1.85,1.54,1.29
set_12_43_obj3.png,2.66,8.11,31.07,5.36,5.50,4.00,7.00,5.00,5.62,4.95,3.71
set_12_46_obj3.png,6.53,14.21,13.82,4.47,2.50,5.00,2.50,5.00,11.67,5.07,6.72
set_12_47_obj0.png,1.07,8.64,10.53,7.34,3.00,3.50,4.00,3.50,7.18,1.15,7.21
set_12_48_obj0.png,4.92,5.55,3.38,1.51,2.50,2.00,2.80,2.00,5.12,5.05,5.03
set_12_48_obj2.png,11.26,17.23,8.36,13.06,8.00,6.00,8.50,6.00,19.38,13.58,13.86
set_12_5_obj2.png,0.00,0.00,0.00,1.59,0.00,0.00,0.00,0.00,0.00,1.05,0.21
set_12_51_obj0.png,16.63,16.82,12.24,3.74,24.00,10.00,25.00,15.00,15.00,14.15,16.12
set_12_53_obj3.png,0.27,0.28,0.18,0.22,0.20,0.10,0.25,0.20,0.45,0.30,0.35
set_12_54_obj0.png,4.33,4.87,3.87,2.74,5.00,4.50,6.00,4.00,5.08,4.55,5.06
set_12_57_obj2.png,7.81,10.45,6.72,5.17,8.00,6.00,10.00,7.00,9.44,7.98,9.54
set_12_57_obj3.png,5.18,4.52,3.64,3.27,0.50,0.20,2.00,4.00,4.94,4.91,4.20
set_12_66_obj1.png,0.00,0.00,3.73,1.54,0.00,0.00,0.00,0.00,0.22,0.00,0.00
set_12_66_obj2.png,0.00,0.27,0.42,1.20,0.20,0.00,0.70,0.00,0.25,0.24,0.10
set_12_68_obj1.png,0.33,0.34,0.29,0.13,0.00,0.00,0.70,0.00,0.34,0.33,0.39
set_12_7_obj2.png,0.00,0.00,2.19,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00
set_12_7_obj3.png,2.49,3.12,6.46,0.44,0.50,1.50,0.50,1.00,0.34,0.00,0.47
set_12_74_obj0.png,7.88,9.11,8.46,6.25,5.00,5.60,6.00,5.00,7.93,7.60,8.17
set_12_74_obj1.png,2.01,2.08,1.50,1.22,1.50,1.20,1.50,1.20,1.95,1.92,1.99
set_12_74_obj2.png,1.16,4.72,1.58,1.79,1.20,0.80,1.50,1.00,1.16,1.11,1.03
set_12_77_obj3.png,3.64,4.78,2.48,3.42,4.70,7.00,6.00,8.00,4.06,4.01,4.23
set_12_78_obj0.png,1.45,2.19,0.98,1.06,1.10,2.00,1.10,2.00,1.38,1.37,0.99
set_12_78_obj1.png,8.79,16.68,13.37,12.54,12.00,6.00,10.00,10.00,9.66,9.67,10.79
set_15_11_obj2.png,11.20,20.29,13.16,10.29,4.00,4.70,3.00,8.00,6.43,11.15,17.80
set_15_11_obj3.png,3.65,2.65,1.07,0.73,3.50,2.50,2.80,3.20,0.19,3.96,3.74
set_15_12_obj0.png,6.77,5.88,1.75,0.74,3.50,1.50,5.00,1.10,3.54,6.93,5.60
set_15_12_obj1.png,12.19,12.38,0.00,3.20,2.00,5.50,3.00,7.00,13.75,12.56,6.79
set_15_13_obj1.png,14.57,24.01,6.57,14.45,12.00,12.60,15.00,16.00,16.15,15.92,15.81
set_15_13_obj2.png,6.97,21.06,10.76,16.10,7.50,10.00,15.00,12.00,15.49,11.36,17.45
set_15_13_obj4.png,1.81,2.43,0.09,1.00,0.60,1.20,0.60,0.70,1.82,1.67,1.76
set_15_17_obj0.png,14.00,28.26,21.65,23.15,18.00,27.00,20.00,30.00,11.14,17.57,22.16
set_15_17_obj1.png,12.01,17.39,6.74,7.60,9.00,7.00,9.50,7.50,13.61,14.56,13.08
set_15_17_obj2.png,8.75,19.57,11.74,4.82,10.00,4.50,13.00,5.00,12.69,15.49,14.69
set_15_20_obj2.png,29.86,37.40,26.03,32.37,14.00,15.00,20.00,17.00,0.00,30.18,30.84
set_15_20_obj3.png,18.24,42.29,21.22,15.55,18.00,9.00,19.00,11.00,14.41,17.99,16.06
set_15_21_obj0.png,11.04,12.53,10.30,9.65,5.50,7.00,5.00,10.00,13.83,11.19,12.50
set_15_21_obj1.png,1.08,2.88,1.83,2.04,1.50,3.00,1.00,5.00,2.94,2.71,2.33
set_15_22_obj1.png,7.60,7.52,4.14,5.55,4.00,3.50,3.00,4.00,8.12,7.82,7.45
set_15_22_obj2.png,1.30,0.74,0.54,0.78,0.30,0.36,0.20,0.30,0.88,1.38,0.93
set_15_22_obj3.png,0.00,0.00,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00
set_15_24_obj0.png,17.18,20.77,17.53,11.30,12.00,14.00,12.50,14.00,21.29,19.68,22.05
set_15_24_obj3.png,10.60,11.37,8.14,4.05,1.00,5.50,1.00,5.00,11.77,11.21,10.64
set_15_25_obj0.png,5.74,12.16,4.60,3.96,7.00,7.50,7.00,7.00,7.05,7.33,7.50
set_15_25_obj1.png,11.21,12.27,13.96,9.91,15.00,5.00,15.00,3.50,14.19,11.87,14.55
set_15_25_obj2.png,6.27,6.82,7.78,2.95,1.20,1.00,1.00,1.00,8.14,8.24,9.10
set_15_31_obj1.png,39.96,45.45,0.00,25.96,50.00,60.00,50.00,55.00,98.75,31.16,16.23
set_15_38_obj2.png,27.81,52.11,22.99,9.35,40.00,46.00,48.00,45.00,20.17,27.76,31.76
set_15_6_obj0.png,5.57,6.96,14.72,5.53,2.00,1.00,3.00,1.50,6.29,6.26,6.30
set_15_6_obj1.png,1.89,2.31,5.12,2.09,1.00,1.00,1.00,1.20,2.76,2.76,2.63
set_15_6_obj2.png,4.34,6.82,12.77,5.12,5.00,7.00,5.00,6.00,6.55,6.72,6.86
